job title,company name,Date,location,skills,links
Sr. Backend/Database Engineer,Dar Al Handasah -,7 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · JavaScript · .Net · C# · VB.net · Java · SQL · PostgreSQL,/jobs/p/DYLgoCaWq8vT-Sr-BackendDatabase-Engineer-Dar-Al-Handasah-Giza-Egypt?o=24&l=sp&t=sj&a=python|search-v3|hpb|spbl
Sr. Data Analytics Engineer,Dar Al Handasah -,7 days ago,"Smart Village, Giza, Egypt ",Full TimeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Database Development · DB Design · Dimensional Modeling · Python · SQL · PostgreSQL,/jobs/p/0n9YZy9gIosl-Sr-Data-Analytics-Engineer-Dar-Al-Handasah-Giza-Egypt?o=25&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior Full Stack Developer,Egyptian Medical Syndicates Union -,7 days ago,"Garden City, Cairo, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · Java · Linux · Programming · JavaScript · Software Development,/jobs/p/qAEcuqlu40lh-Senior-Full-Stack-Developer-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=26&l=sp&t=sj&a=python|search-v3|hpb|spbl
Full Stack Developer,Egyptian Medical Syndicates Union -,7 days ago,"Garden City, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · Computer Science · Development · Java · Linux · Programming · JavaScript · Software Development,/jobs/p/CrdBULj7U8Rp-Full-Stack-Developer-Egyptian-Medical-Syndicates-Union-Cairo-Egypt?o=27&l=sp&t=sj&a=python|search-v3|hpb|spbl
Odoo Developer,classera -,14 days ago,"Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Programming · Computer Science · HTML · XML · jQuery · Odoo · PostgreSQL · JavaScript,/jobs/p/O4QkXOqIIJ3B-Odoo-Developer-classera-Cairo-Egypt?o=28&l=sp&t=sj&a=python|search-v3|hpb|spbl
DevOps Engineer (Remotely for USA),Mobile Wave 3 -,12 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 6 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · AWS · Information Technology (IT) · Java · Kubernetes,/jobs/p/4WZ4aYCHskVC-DevOps-Engineer-Remotely-for-USA-Mobile-Wave-3-Cairo-Egypt?o=29&l=sp&t=sj&a=python|search-v3|hpb|spbl
Senior .NET Full Stack Developer (.NET Core & Angular),Excel Systems   -,12 days ago,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4+ Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · ASP.NET · ADO.NET · C#.Net · .NET · .NEt Full Stack Developer · Full Stack Developer · java · Python,/jobs/p/b7HavRTuH7Xc-Senior-NET-Full-Stack-Developer-NET-Core-Angular-Excel-Systems-Giza-Egypt?o=30&l=sp&t=sj&a=python|search-v3|hpb|spbl
R&D Software Engineer (RSDE-L2),TensorGraph -,7 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · R&D/Science · IT/Software Development · Analyst/Research · Computer Science · Machine Learning · Computer Vision · C++ · C# · AWS · Algorithms,/jobs/p/0qQa4U8C6Ooi-RD-Software-Engineer-RSDE-L2-TensorGraph-Cairo-Egypt?o=31&l=sp&t=sj&a=python|search-v3|hpb|spbl
Front End Developer,Dafater -,13 days ago,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front-End Development · OOP · JavaScript · Computer Science · Information Technology (IT) · Programming · Software Development · Vue,/jobs/p/JcN3rcvkSQ7h-Front-End-Developer-Dafater-Cairo-Egypt?o=32&l=sp&t=sj&a=python|search-v3|hpb|spbl
ERP Developer & Implementer,Mass -,13 days ago,"New Cairo, Cairo, Egypt ",Part TimeExperienced · 4 - 6 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Python · ERP · Software Development · Database · Communication · Information Technology (IT) · Telecom Engineering · Computer Science,/jobs/p/WW3njXYXj7un-ERP-Developer-Implementer-Mass-Cairo-Egypt?o=33&l=sp&t=sj&a=python|search-v3|hpb|spbl
Social Media Listening Analyst (SMMA),Confidential -,14 days ago,"Dokki, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Marketing/PR/Advertising · Analyst/Research · Media/Journalism/Publishing · Analysis · Analytics · Digital Marketing · Marketing · Social Media · media · Data visualization,/jobs/p/odauymG4nUA9-Social-Media-Listening-Analyst-SMMA-Giza-Egypt?o=34&l=sp&t=sj&a=python|search-v3|hpb|spbl
Application Administrator,Egypt University of Informatics (EUI) -,14 days ago,"New Capital, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Database · AWS · Computer Science · Information Technology (IT) · Communication · JavaScript · ERP · Python,/jobs/p/qowuyuQ1bGXQ-Application-Administrator-Egypt-University-of-Informatics-EUI-Cairo-Egypt?o=35&l=sp&t=sj&a=python|search-v3|hpb|spbl
Software Tester,Etisalat Egypt -,11 days ago,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Automation · Information Technology (IT) · Science · Design · Quality Control · Software,/jobs/p/qwUFf5pT1hRo-Software-Tester-Etisalat-Egypt-Cairo-Egypt?o=36&l=sp&t=sj&a=python|search-v3|hpb|spbl
